X,Y,BOROUGH,LINE,STATION,DISTRICT,STATION_ID,NOTE
988610,209997,"Manhattan","6","28 Street","04",404,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound"
999417,211442,"Queens","7","45 Road / Court House Square","20",462,"7-all times, 7 Express-rush hours AM westbound, PM eastbound"
984197,201156,"Manhattan","6","Canal Street","02",410,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound"
997113,209839,"Queens","7","Vernon Boulevard / Jackson Avenue","20",464,"7-all times, 7 Express-rush hours AM westbound, PM eastbound"
987035,206938,"Manhattan","4,5,6","14 Street / Union Square","04",406,"4,6-all times, 5-all times exc nights, 6 Express-weekdays AM southbound, PM northbound"
1006937,219833,"Queens","N,W","Astoria Boulevard","20",2,"N-all times, W part time"
983214,203861,"Manhattan","A,C,E","Spring Street","02",168,"A-nights, C-all other times, E-all times"
1004799,216696,"Queens","N,W","Broadway","20",4,"N-all times, W part time"
985730,203747,"Manhattan","6","Bleecker Street","04",408,"4 nights, 6-all times, 6 Express-weekdays PM"
1002854,213536,"Queens","N,W","39 Avenue","20",6,"N-all times, W part time"
983958,201160,"Manhattan","N,Q","Canal Street","02",19,"N-all times, Q-weekdays and evenings"
1037486,194503,"Queens","E,J,Z","Sutphin Boulevard / Archer Avenue","20",279,"E,J-all times, Z-rush hours AM westbound, PM eastbound"
987382,210866,"Manhattan","N,R","28 Street","04",13,"N-all times, R-all times exc nights, part time"
1031845,194528,"Queens","J,Z","121 Street","20",80,"Z-rush hours AM westbound, PM eastbound, J-all other times"
987660,214518,"Manhattan","7","42 Street / Times Square","01",467,"7-all times, 7 Express-rush hours AM westbound, PM eastbound"
1027388,192582,"Queens","J","104 Street","20",82,"Z-rush hours AM westbound, PM eastbound, J-all other times"
986872,207375,"Manhattan","N,Q,R,W","14 Street / Union Square","04",15,"N,Q-all times, R-all times exc nights"
1023050,191577,"Queens","J,Z","85 Street / Forest Parkway","20",84,"J-all times"
982313,199141,"Manhattan","R,W","City Hall","02",20,"N-nights, R-all other times"
997206,215867,"Queens","J,Z","Roosevelt Island","20",222,"F-all times"
984887,203169,"Manhattan","N,R","Prince Street","04",17,"N-all times, Q-nights, R-all times exc nights"
1027559,187214,"Queens","A","Rockaway Boulevard","23",192,"A-all times, S Euclid Av to Ozone Park-Lefferts Blvd-nights"
981870,199447,"Manhattan","A,C","Chambers Street","02",170,"A-all times, C-all times exc nights"
1025447,186996,"Queens","A","88 Street","23",191,"A-all times, S Euclid Av to Ozone Park-Lefferts Blvd-nights"
985982,200961,"Manhattan","B,D","Grand Street","04",231,"B-weekdays and evenings, D-all times"
1030799,188641,"Queens","A","111 Street","23",194,"S Euclid Av to Ozone Park-Lefferts Blvd-nights, A-all other times"
